inforom.pwr, power.management, power.draw [W], power.draw.average [W], power.draw.instant [W], power.limit [W], enforced.power.limit [W], power.default_limit [W], power.min_limit [W], power.max_limit [W]
[N/A], Enabled, 55.16, [N/A], 55.16, 300.00, 300.00, 300.00, 150.00, 300.00
[N/A], Enabled, 55.16, [N/A], 55.16, 300.00, 300.00, 300.00, 150.00, 300.00
[N/A], Enabled, 55.16, [N/A], 55.16, 300.00, 300.00, 300.00, 150.00, 300.00
[N/A], Enabled, 55.16, [N/A], 55.16, 300.00, 300.00, 300.00, 150.00, 300.00
[N/A], Enabled, 55.16, [N/A], 55.16, 300.00, 300.00, 300.00, 150.00, 300.00
[N/A], Enabled, 55.16, [N/A], 55.16, 300.00, 300.00, 300.00, 150.00, 300.00
[N/A], Enabled, 55.16, [N/A], 55.16, 300.00, 300.00, 300.00, 150.00, 300.00
[N/A], Enabled, 55.16, [N/A], 55.16, 300.00, 300.00, 300.00, 150.00, 300.00
[N/A], Enabled, 55.16, [N/A], 55.16, 300.00, 300.00, 300.00, 150.00, 300.00
[N/A], Enabled, 55.16, [N/A], 55.16, 300.00, 300.00, 300.00, 150.00, 300.00
